source,timestamp,metric_type,metric_name,partner,time_window,bucket_interval,perc50,perc95,perc99,perc99_9,perc99_99,volume,uniq_stbs,stack,count_gt_1000,count_gt_1500,count_gt_2000,count_gt_2500
xre,2017-03-20 06:30:00,ecm,MiniEntityInfo,comcast,reboot,15m_bucket,14,203,345,678,804,3786,3049,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,ChannelGridPanel,comcast,reboot,15m_bucket,5,37,117,345,586,2479131,276144,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,ListRowEntityInfo,comcast,reboot,15m_bucket,146,733,1040,1154,1409,1148,755,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,LastWatched,comcast,reboot,15m_bucket,116,211,462,749,771,4568,2358,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,GuideIndefiniteProgressIndicator,comcast,reboot,15m_bucket,67,182,290,319,319,225,169,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,LastWatched,comcast,reboot,15m_bucket,114,189,403,735,879,4365,2128,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,DvrFavoriteChannels,comcast,reboot,15m_bucket,52,225,410,574,574,875,778,c6fp,0,0,0,0
xre,2017-03-20 06:45:00,ecm,DvrRecentlyWatched,comcast,reboot,15m_bucket,163,442,614,821,821,675,594,c6fp,0,0,0,0
xre,2017-03-20 06:15:00,ecm,DvrFavoriteChannels,comcast,reboot,15m_bucket,51,197,351,573,573,978,862,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,Browse,comcast,reboot,15m_bucket,121,565,952,1733,1733,657,478,c6fp,0,0,0,0
xre,2017-03-20 06:30:00,ecm,GalleryRow,comcast,reboot,15m_bucket,37,281,670,1977,5060,17451,3782,c6fp,0,0,0,0
